t,Mode,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,StateBlc0,StateBlc1,StateBlc2,StateBlc3,StateBlc4,StateBlc5,StateBlc6,StateBlc7,StateBlc8,StateBlc9,StateBlc10,StateBlc11,StateBlc12,StateBlc13,StateBlc14,StateBlc15,State
0.0,1,50.12318386729814,39.1567571656415,21.821108085481686,52.88281996772676,41.39132757820268,34.58170719150147,33.069492242505035,52.883546127691744,58.478409309531614,44.453322160409,25.329301625068425,39.45950913539141,29.148382316316642,48.393764617692526,59.577124468603174,31.181803162963597,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
0.1,1,50.479038785419355,39.44844530380673,22.052638403656772,53.248879195553656,41.70447149600885,34.85518996803061,33.32667077740561,53.23094425239458,58.841601397132095,44.76083916951705,25.584252644827078,39.74843857797582,29.411931123148445,48.72053433442758,59.92892454578434,31.450073971924056,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
0.2,1,50.83689169998741,39.7417347966665,22.285556108920527,53.61697198877972,42.0192901771192,35.13008141163802,33.58517780420029,53.580105491109904,59.20660187914468,45.06989154363176,25.84046238424314,40.03889057605887,29.676948742258517,49.04880070779552,59.76382073353735,31.719696731240916,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True
0.30000000000000004,1,51.19675403645497,40.03663468133044,22.519869447319245,53.98710988164066,42.335792745467884,35.4063890117032,33.845020344026466,53.93103913773772,59.57342011774988,45.38048696315902,26.097752625920446,40.33087312294913,29.943443222038955,49.378386254942164,59.51966923214279,31.99049363518238,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True
0.4,1,51.55863732246458,40.33315408837685,22.755586740966827,54.35930452628051,42.653893443517454,35.68412031915825,34.10620546223264,54.28375459595793,59.46637358803579,45.69253816825789,26.356127252066756,40.624394229700776,30.211327664724312,49.70929556266188,59.27752819679212,32.262468900842244,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,False
0.5,0,51.92255215278361,40.63130147559984,22.99271573147355,54.73356672079587,42.97340280875166,35.96328210128426,34.368739662779866,54.6382605242595,59.24042002481623,46.0058543897399,26.615592328374436,40.91946126292159,30.480411459608593,50.04153520353077,59.03738581796078,32.53562898290649,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,False
0.6000000000000001,1,52.28851001538126,40.93108605022435,23.231264813883616,55.1099082156914,43.294322872319,36.24388169311812,34.63263006646696,54.994566399361055,59.016324781341275,46.32043634523991,26.876154371586757,41.21608229522153,30.750695350294855,50.37511226351268,58.79923123556986,32.8099808731524,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,False
0.7000000000000001,1,52.65652216980458,41.23251683634852,23.471242228424796,55.48834052961133,43.6166616111875,36.52592626153554,34.897883637645876,55.35268148994905,58.79407821710167,46.636290710024056,27.137819766746308,41.51426521902059,31.022186048733875,50.71003366316406,58.56305338334225,33.08553142151736,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,False
0.8,1,53.02659993830043,41.53560290807235,23.712656262581923,55.86887524540298,43.94042703703729,36.809423010653276,35.16450737750961,55.7126151132061,58.57367076308586,46.95342418509984,27.40059492357641,41.81401796805312,31.294890294361508,51.04630634872312,58.32884127764916,33.3622875057917,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,False
0.9,1,53.398754704349535,41.840353388331444,23.955515250002314,56.25152400862138,44.26562719548377,37.094379180937466,35.432508323217526,56.074376633664386,58.35509291910909,47.27184349663597,27.664486275946327,42.115348516378404,31.568814853476667,51.38393729153281,58.096584014381754,33.64025603100446,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,False
1.0,1,53.77299791474713,42.1467774505586,24.199827572071815,56.636298529664025,44.5922701672553,37.38080205042327,35.70189354910775,56.437975464805135,58.13833525543935,47.59155539683214,27.929500282721364,42.41826487973343,31.843966520168212,51.72293348890974,57.86627077080067,33.91944393037482,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,False
1.1,1,54.14934107947755,42.454884318586046,24.44560165782851,57.023210583647106,44.9203640681503,37.668698934623606,35.972670166612865,56.80342106895141,57.92338841187851,47.91256666388373,28.1956434277458,42.72277511543151,32.12035211627533,52.06330196411021,57.63789080444274,34.199858165284525,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,False
1.2000000000000002,1,54.52779590027369,42.76468336645679,24.692808685088146,57.119835502255484,45.249917137891885,37.95807727331821,36.24480818632335,56.879564485421476,57.71024320274068,48.23488418138926,28.462922282643834,43.0288501951793,32.39797856691784,52.40504985014998,57.411433564948766,34.481505797208044,True,True,True,False,True,True,True,False,False,True,True,True,True,True,False,True,False
1.3,0,54.6346125313959,42.861441330102615,24.816983257834938,56.937717769454196,45.35374382325809,38.05828905048075,36.336113016126674,56.678443705806934,57.49881229040632,48.31647578344357,28.5881928362656,43.120284957956216,32.51401858999712,52.48524891437292,57.18681699517922,34.591147715485214,True,True,True,False,True,True,True,False,False,True,True,True,True,True,False,True,False
1.4000000000000001,1,54.74169237680232,42.95846929004406,24.941309031522223,56.75648509727039,45.45772315510419,38.1587107826433,36.42760457434062,56.47847802353491,57.288692161447784,48.398247521017346,28.713528061896785,43.21190605502444,32.630190469352875,52.56561002972724,56.9636691769764,34.700925059649045,True,True,True,False,True,True,True,False,False,True,True,True,True,True,False,True,False
